> -L"dykes_parana"
-48.705454334	-25.489887465
-48.751040841	-25.463118529
-48.78375843	-25.450626359
-48.796845466	-25.439323919
-48.814691423	-25.42921121
-48.853357665	-25.410175522
-48.87893687	-25.391139834
-48.906895537	-25.373293876
-48.953889892	-25.342360883
> -L"dykes_parana"
-48.930539448	-25.394308483
-48.954096112	-25.391453129
-48.994784895	-25.362899597
-49.037615193	-25.335059904
-49.08663209	-25.315072431
-49.124703466	-25.291872686
> -L"dykes_parana"
-49.102574479	-25.320426218
-49.128986496	-25.299011069
-49.154684675	-25.284734303
-49.182524369	-25.269029861
-49.210364062	-25.254753095
-49.30815991	-25.192649162
-49.356700914	-25.155529571
-49.418091008	-25.114840787
-49.440933834	-25.096280992
-49.461635144	-25.083431902
-49.475198072	-25.068441298
-49.490688363	-25.056591582
-49.527094117	-25.041600978
-49.555647649	-25.015188961
-49.567069062	-25.003767548
-49.587770372	-24.997343003
-49.610613198	-24.983780075
-49.627745317	-24.968789471
-49.640594407	-24.968075633
-49.679855513	-24.945946645
-49.691276926	-24.933811394
-49.711264399	-24.921676143
> -L"dykes_parana"
-49.041089206	-25.449868897
-49.061790517	-25.43202294
-49.076067283	-25.421315365
-49.094627079	-25.407038599
-49.158872526	-25.369919007
-49.243105446	-25.326374871
-49.269517463	-25.308528913
-49.314489276	-25.285686088
-49.340187455	-25.274264675
> -L"dykes_parana"
-49.343324378	-25.236788164
-49.381157808	-25.218942206
-49.415422046	-25.200382411
-49.44754477	-25.184677968
-49.516073247	-25.133995449
-49.56104506	-25.097589695
-49.597450813	-25.07474687
-49.642422626	-25.044765661
-49.680256056	-25.010501422
-49.727369384	-24.979092537
> -L"dykes_parana"
-48.468789177	-25.720615868
-48.512333313	-25.689920821
-48.55587745	-25.662794965
-48.595138556	-25.632813757
-48.622264412	-25.609970931
-48.650817944	-25.59355265
-48.69436208	-25.569282148
> -L"dykes_parana"
-48.555163611	-25.763446166
-48.608701484	-25.734892634
-48.675802284	-25.702056072
-48.74076157	-25.67350254
> -L"dykes_parana"
-48.545574383	-25.901048413
-48.591260035	-25.870591312
-48.630283195	-25.845844917
-48.689293828	-25.816339601
-48.761629443	-25.778268225
-48.809837323	-25.742316552
> -L"dykes_parana"
-48.360166782	-25.601712218
-48.405971406	-25.574348417
-48.43928386	-25.554717863
-48.503529307	-25.522000275
-48.541005818	-25.506533778
-48.566585024	-25.486903225
-48.594543691	-25.469652132
-48.620717762	-25.45121131
-48.682583748	-25.416709125
-48.738501082	-25.383991536
-48.794715848	-25.349132433
-48.862530487	-25.311655922
-48.905360785	-25.275369141
-48.974365154	-25.235513169
-49.030877353	-25.211123694
> -L"dykes_parana"
-48.494308896	-25.84632081
-48.525836754	-25.832044044
-48.571641379	-25.811818625
-48.606738429	-25.790403476
-48.630533039	-25.781480497
-48.678717124	-25.756496157
> -L"dykes_parana"
-48.531785407	-25.763372799
-48.589487336	-25.732439806
-48.621015195	-25.722327097
> -L"dykes_parana"
-49.338779607	-25.132863222
-49.383989366	-25.098955902
-49.433958047	-25.061479392
-49.455968062	-25.046012895
-49.505936743	-25.013890171
-49.535680005	-25.001398001
-49.546982445	-24.998423675
