> -L"dykes_equamp"
-36.522539037	-6.52597804
-36.497554696	-6.521813983
-36.477329277	-6.519434522
-36.466621703	-6.518244792
> -L"dykes_equamp"
-36.753346754	-6.395583577
-36.73133674	-6.393204116
-36.714680513	-6.400937364
> -L"dykes_equamp"
-35.999339689	-5.584343318
-35.988952838	-5.583333742
-35.980386778	-5.584761419
-35.970868934	-5.587616772
-35.960399305	-5.588568556
-35.954688599	-5.584761419
-35.948502	-5.58285785
-35.938508264	-5.583333742
> -L"dykes_equamp"
-35.85456088	-5.666138985
-35.831242162	-5.668994338
-35.814585935	-5.665663093
-35.798881492	-5.665187201
-35.772231529	-5.670422015
-35.737015506	-5.669946123
-35.725118201	-5.672325584
-35.702275376	-5.67375326
> -L"dykes_equamp"
-36.017316013	-5.747992444
-35.995900864	-5.74942012
-35.980196421	-5.747516552
-35.972582146	-5.747516552
-35.959257164	-5.747992444
-35.944028614	-5.747516552
-35.926896495	-5.747040659
-35.916426866	-5.749896013
-35.898818855	-5.75370315
-35.880259059	-5.755606719
-35.857416233	-5.750847797
-35.841235898	-5.750847797
-35.824103779	-5.756558503
-35.807447552	-5.756082611
-35.793170786	-5.757034396
-35.780797589	-5.756082611
-35.761761901	-5.75370315
-35.752719949	-5.750847797
-35.743677997	-5.747992444
-35.714648573	-5.747040659
-35.698468238	-5.747040659
-35.687046825	-5.747040659
-35.676101305	-5.747040659
-35.667535245	-5.747040659
-35.65992097	-5.748468336
-35.646595988	-5.752751366
-35.630415653	-5.749896013
-35.620897809	-5.750847797
-35.613759426	-5.755130827
-35.603289798	-5.755130827
-35.594247846	-5.755606719
-35.584670515	-5.758105153
-35.576639834	-5.761674345
-35.556414416	-5.760782047
-35.544517111	-5.755725692
> -L"dykes_equamp"
-36.404488027	-6.054413484
-36.377719091	-6.05857754
-36.356898807	-6.060957001
-36.335483658	-6.059767271
-36.322396623	-6.05857754
> -L"dykes_equamp"
-35.950630869	-5.602985046
-35.939209457	-5.603460938
-35.928263936	-5.600605585
-35.910655925	-5.595370771
-35.889716668	-5.593467202
-35.879247039	-5.592515418
-35.865922058	-5.594418986
-35.853072968	-5.595370771
-35.840699771	-5.595846663
-35.830230143	-5.599177908
-35.822615867	-5.602985046
-35.798821257	-5.601557369
-35.789779305	-5.596798447
-35.776454324	-5.593467202
-35.760749881	-5.59299131
-35.750756145	-5.59299131
-35.743617762	-5.595370771
-35.728389211	-5.598702016
-35.716967799	-5.600605585
-35.706022278	-5.600129693
-35.693649081	-5.600129693
-35.678896423	-5.597750232
-35.654150028	-5.597750232
-35.620837574	-5.596798447
-35.607988485	-5.598702016
-35.575151923	-5.600129693
-35.561351049	-5.602985046
-35.546598391	-5.603460938
-35.534225193	-5.602509154
-35.509407415	-5.604769642
-35.491918377	-5.602985046
-35.474072419	-5.600843531
-35.450158836	-5.59727434
-35.43159904	-5.596560501
-35.415180759	-5.595132825
-35.396977883	-5.589065199
-35.373421219	-5.579071463
-35.350828236	-5.573360756
-35.336194551	-5.569077727
-35.325486977	-5.570505403
-35.317277836	-5.565151616
-35.300502636	-5.560511667
-35.285512032	-5.553373284
-35.271592185	-5.545521063
> -L"dykes_equamp"
-35.65274601	-5.612207626
-35.606941385	-5.613397356
> -L"dykes_equamp"
-36.386214865	-6.459295744
-36.3854358916	-6.45915906106
-36.3846566799	-6.45902573088
-36.38387723	-6.45889575345
