> -L"Dykes"
-40.108814711	-9.60874814119
-40.0935797193	-9.59636976172
-40.0787172745	-9.57693425566
-40.0569952404	-9.54606609952
> -L"Dykes"
-40.0024463681	-9.65882705093
-39.9936291178	-9.65016010048
-39.9817555617	-9.63927509243
-39.9429140463	-9.59840952475
> -L"Dykes"
-40.1988793277	-9.70886339706
-40.1816111327	-9.67868485308
-40.1690352164	-9.66725220139
-40.1576025658	-9.65467628518
-40.1461699153	-9.64210036898
-40.1313074691	-9.62723792221
-40.1118719617	-9.61123220939
-40.108814711	-9.60874814119
> -L"Dykes"
-40.0688041961	-9.71634769004
-40.0671578678	-9.71476968446
-40.0650535654	-9.71253722006
-40.0629965231	-9.71082476957
-40.060803155	-9.70924842515
-40.058291948	-9.70808014227
-40.0564874159	-9.70690965989
-40.0551631559	-9.70623524917
-40.0533656933	-9.70541156613
> -L"Dykes"
-40.9345691961	-9.72684121979
-40.9292905989	-9.75257433362
-40.9312700685	-9.75917256879
-40.9550237176	-9.78622533703
-40.9629416002	-9.79678251454
-40.9694929154	-9.80352740935
-40.9820764842	-9.81855669389
-40.993293484	-9.83571210693
> -L"Dykes"
-40.1789120878	-9.82692837176
-40.1700928731	-9.81618048245
-40.1686272015	-9.81437630286
-40.1673445939	-9.81275240841
-40.1660623155	-9.81121896842
-40.1647794172	-9.80950460015
-40.1633141208	-9.80779085117
-40.1615736486	-9.80562572573
-40.1596501611	-9.80328028976
-40.1578197882	-9.80147729566
-40.1561723128	-9.79980935979
-40.1545243848	-9.79800572182
-40.1527858962	-9.79638330619
-40.1509562216	-9.79476118873
-40.14885078	-9.79250675402
-40.1467466087	-9.79061414931
-40.1450984675	-9.7887199919
-40.143084614	-9.78655566623
-40.1412642018	-9.78434043454
-40.1395763627	-9.782099809
-40.1381812425	-9.78000311455
-40.1366380711	-9.77732721882
-40.134769158	-9.77509472366
-40.1332124386	-9.7732228019
-40.1307883726	-9.77105974845
-40.1281819446	-9.7688972785
-40.1256211477	-9.76673463378
-40.1235640813	-9.76520354888
-40.1216874554	-9.76308384185
-40.1205435851	-9.76191158017
-40.1184615838	-9.75972467854
-40.1159900045	-9.75692840652
-40.1133815275	-9.75408732689
-40.110910183	-9.75133623928
-40.109377704	-9.7498259566
-40.1074112585	-9.74806829848
-40.1052211937	-9.74590827188
-40.1036615531	-9.74477850907
-40.1018791793	-9.74351777022
-40.0991821052	-9.7414005565
-40.0966666309	-9.73903395707
-40.0946556029	-9.73754774711
-40.0924610387	-9.73570025223
-40.0904490211	-9.73389739007
-40.0872938147	-9.73105780944
-40.0849157909	-9.72884898102
-40.0829504664	-9.72736254423
-40.0811006676	-9.72635066975
-40.0790438973	-9.72477403113
-40.0767134442	-9.72315300734
-40.0745196461	-9.72148630323
-40.0727815049	-9.71972768861
-40.0706337714	-9.71819650833
-40.0688041961	-9.71634769004
> -L"Dykes"
-40.2136748247	-9.87255860176
-40.1960090819	-9.85217529525
-40.1835046221	-9.83252542753
-40.1789120878	-9.82692837176
> -L"Dykes"
-40.2978311262	-9.96292910391
-40.2799676081	-9.94863828857
-40.2710358507	-9.93613382699
-40.2406678723	-9.90397949521
-40.219231653	-9.87897057111
-40.2136748247	-9.87255860176
> -L"Dykes"
